,coord_x,coord_y,valeur,qualif,val_no2,val_pm10,val_o3,val_so2,val_pm25
129,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
130,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
131,652080,6862620,2,Très bon,1.0,2.0,2.0,1.0,0
132,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
133,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
134,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
135,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
136,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
137,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
138,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
139,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
140,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
141,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
142,652080,6862620,2,Très bon,1.0,2.0,2.0,1.0,0
143,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
144,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
145,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
146,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
147,652080,6862620,6,Médiocre,4.0,6.0,5.0,1.0,0
148,652080,6862620,5,Moyen,3.0,5.0,5.0,1.0,0
149,652080,6862620,5,Moyen,3.0,3.0,5.0,1.0,0
150,652080,6862620,4,Bon,3.0,4.0,4.0,1.0,0
151,652080,6862620,5,Moyen,2.0,5.0,5.0,1.0,0
152,652080,6862620,5,Moyen,1.0,5.0,4.0,1.0,0
153,652080,6862620,7,Médiocre,3.0,6.0,7.0,1.0,0
154,652080,6862620,6,Médiocre,5.0,5.0,6.0,1.0,0
155,652080,6862620,6,Médiocre,5.0,5.0,6.0,1.0,0
156,652080,6862620,5,Moyen,4.0,3.0,5.0,1.0,0
157,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
158,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
159,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
160,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
161,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
162,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
163,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
164,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
165,652080,6862620,5,Moyen,3.0,3.0,5.0,1.0,0
166,652080,6862620,4,Bon,3.0,3.0,4.0,1.0,0
167,652080,6862620,4,Bon,3.0,3.0,4.0,1.0,0
168,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
169,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
170,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
171,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
172,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
173,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
174,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
175,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
176,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
177,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
178,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
179,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
180,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
181,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
182,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
183,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
184,652080,6862620,5,Moyen,2.0,2.0,5.0,1.0,0
185,652080,6862620,5,Moyen,1.0,2.0,5.0,1.0,0
186,652080,6862620,4,Bon,2.0,2.0,4.0,1.0,0
187,652080,6862620,5,Moyen,2.0,2.0,5.0,1.0,0
188,652080,6862620,6,Médiocre,3.0,4.0,6.0,0.0,0
189,652080,6862620,8,Mauvais,3.0,6.0,8.0,1.0,0
190,652080,6862620,7,Médiocre,3.0,3.0,7.0,1.0,0
191,652080,6862620,7,Médiocre,2.0,4.0,7.0,1.0,0
192,652080,6862620,7,Médiocre,3.0,4.0,7.0,1.0,0
193,652080,6862620,6,Médiocre,3.0,4.0,6.0,1.0,0
194,652080,6862620,7,Médiocre,3.0,5.0,7.0,1.0,0
195,652080,6862620,5,Moyen,3.0,4.0,5.0,1.0,0
196,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
197,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
198,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
199,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
200,652080,6862620,7,Médiocre,3.0,5.0,7.0,1.0,0
201,652080,6862620,5,Moyen,3.0,4.0,5.0,1.0,0
202,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
203,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
204,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
205,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
206,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
207,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
208,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
209,652080,6862620,4,Bon,1.0,4.0,4.0,1.0,0
210,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
211,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
212,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
213,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
214,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
215,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
216,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
217,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
218,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
219,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
220,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
221,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
222,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
223,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
224,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
225,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
226,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
227,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
228,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
229,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
230,652080,6862620,2,Très bon,1.0,2.0,2.0,1.0,0
231,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
232,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
233,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
234,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
