,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
3549,2000195,13,2003,9,"48.82243627039508, 2.3565991593485913"
3550,2000211,5,2003,6,"48.848605389820406, 2.347677601438599"
3551,2000220,17,2003,43,"48.891760680203255, 2.322097065351001"
3552,2000223,1,2003,21,"48.86225271010711, 2.348676395543031"
3553,2000225,19,2003,69,"48.87847337015975, 2.3959371440600417"
3554,2000318,12,2004,11,"48.85030056984663, 2.3810070930721885"
3556,2000332,20,2004,105,"48.85225874981921, 2.403103826400604"
3557,2000357,9,2004,10,"48.8719080598575, 2.3271974145493055"
3560,2000434,13,2004,4,"48.828755839551356, 2.3534240476848525"
3561,2000463,19,2005,35,"48.87761212020485, 2.400394771627298"
3562,2000473,1,2005,13,"48.858745070376656, 2.345606020448081"
3563,2000486,12,2005,1,"48.847286880123356, 2.3686304276036165"
3564,2000488,15,2005,6,"48.84398031032785, 2.319338882393455"
3565,2000526,17,2005,1,"48.88628318013867, 2.324648207491231"
3566,2000569,20,2005,18,"48.86613254013176, 2.3843900583227864"
3567,2000673,11,2006,12,"48.85284011014231, 2.3821041075988374"
3570,2000775,19,2007,3,"48.88431998037461, 2.384140074376492"
3573,2000827,18,2007,4,"48.8959268399278, 2.3478650704097683"
3574,2000831,15,2007,30,"48.837783909939915, 2.3081213296081606"
3575,2000901,9,2007,34,"48.87659829033718, 2.342845814285362"
3576,2000920,5,2007,32,"48.84681090016448, 2.3521376451485714"
3577,2000934,10,2007,20,"48.87039759004227, 2.352874103582393"
3578,2000980,18,2007,11,"48.89531239002111, 2.3439321442134715"
3579,2000983,18,2007,9,"48.890269059853196, 2.347146175314323"
3585,2001061,12,2008,25,"48.86638296972313, 2.3088231342086196"
3586,2001077,19,2008,27,"48.88886971037995, 2.3760338321556933"
3587,2001118,12,2008,1,"48.83802541956791, 2.4086250895221135"
3588,2001179,2,2008,2,"48.86601604999896, 2.3415834665802886"
3589,2001193,4,2008,12,"48.86110285011055, 2.3513156766719012"
3590,2001212,18,2008,35,"48.88951924044931, 2.3546367454116797"
3593,2001322,20,2009,25,"48.874585660449036, 2.4033879345205573"
3594,2001331,12,2009,4,"48.83593961964429, 2.408696468254445"
3595,2001404,19,2009,40,"48.88573497037938, 2.3821113956763678"
3597,2001432,15,2009,1,"48.84315851968156, 2.2823388281773895"
